2019-04-09 10:52:26,496 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
2019-04-09 10:52:26,499 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-04-09 10:52:26,749 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 4)
2019-04-09 10:52:26,866 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-04-09 10:52:26,875 | INFO | FileEndpoint.java 103 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2019-04-09 10:52:26,875 | INFO | FileEndpoint.java 109 | Using default memory based idempotent repository with cache max size: 1000
2019-04-09 10:52:26,931 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: file://data/input?noop=true
2019-04-09 10:52:26,932 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-04-09 10:52:26,934 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.442 seconds
2019-04-09 10:52:31,935 | INFO | DefaultCamelContext.java 3496 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutting down
2019-04-09 10:52:31,936 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-04-09 10:52:31,939 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2019-04-09 10:52:31,942 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-04-09 10:52:31,948 | INFO | DefaultCamelContext.java 3596 | Apache Camel 2.23.1 (CamelContext: camel-1) uptime 5.458 seconds
2019-04-09 10:52:31,949 | INFO | DefaultCamelContext.java 3597 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutdown in 0.014 seconds
2019-04-09 11:02:36,593 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
2019-04-09 11:02:36,596 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-04-09 11:02:36,824 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 4)
2019-04-09 11:02:36,919 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-04-09 11:02:36,927 | INFO | FileEndpoint.java 103 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2019-04-09 11:02:36,927 | INFO | FileEndpoint.java 109 | Using default memory based idempotent repository with cache max size: 1000
2019-04-09 11:02:36,971 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: file://data/input?noop=true
2019-04-09 11:02:36,971 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-04-09 11:02:36,974 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.382 seconds
2019-04-09 11:02:41,976 | INFO | DefaultCamelContext.java 3496 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutting down
2019-04-09 11:02:41,976 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-04-09 11:02:41,979 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2019-04-09 11:02:41,982 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-04-09 11:02:41,990 | INFO | DefaultCamelContext.java 3596 | Apache Camel 2.23.1 (CamelContext: camel-1) uptime 5.401 seconds
2019-04-09 11:02:41,990 | INFO | DefaultCamelContext.java 3597 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutdown in 0.014 seconds
2019-04-09 11:05:56,844 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
2019-04-09 11:05:56,847 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-04-09 11:05:57,068 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 4)
2019-04-09 11:05:57,190 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-04-09 11:05:57,489 | INFO | BrokerService.java 521 | Using Persistence Adapter: MemoryPersistenceAdapter
2019-04-09 11:05:57,490 | INFO | BrokerService.java 799 | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting
2019-04-09 11:05:57,490 | INFO | BrokerService.java 801 | For help or more information please see: http://activemq.apache.org/
2019-04-09 11:05:57,537 | INFO | ManagementContext.java 101 | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi
2019-04-09 11:05:57,631 | INFO | BrokerService.java 564 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54408-1554793557506-0:1) started
2019-04-09 11:05:57,638 | INFO | TransportConnector.java 265 | Connector vm://localhost Started
2019-04-09 11:05:57,679 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: activemq://queue:JMS.SAMPLE.REQ
2019-04-09 11:05:57,679 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-04-09 11:05:57,680 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.839 seconds
2019-04-09 11:06:47,682 | INFO | DefaultCamelContext.java 3496 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutting down
2019-04-09 11:06:47,682 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-04-09 11:06:47,741 | INFO | TransportConnector.java 307 | Connector vm://localhost Stopped
2019-04-09 11:06:47,742 | INFO | BrokerService.java 605 | ActiveMQ Message Broker (localhost, ID:FBDLXPS15-54408-1554793557506-0:1) is shutting down
2019-04-09 11:06:47,751 | INFO | BrokerService.java 676 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54408-1554793557506-0:1) stopped
2019-04-09 11:06:47,752 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: activemq://queue:JMS.SAMPLE.REQ
2019-04-09 11:06:47,753 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-04-09 11:06:47,762 | INFO | DefaultCamelContext.java 3596 | Apache Camel 2.23.1 (CamelContext: camel-1) uptime 50.922 seconds
2019-04-09 11:06:47,762 | INFO | DefaultCamelContext.java 3597 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutdown in 0.080 seconds
2019-04-09 11:07:01,485 | INFO | DefaultCamelContext.java 3138 | Apache Camel 2.23.1 (CamelContext: camel-1) is starting
2019-04-09 11:07:01,488 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-04-09 11:07:01,707 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 4)
2019-04-09 11:07:01,829 | INFO | DefaultCamelContext.java 3465 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-04-09 11:07:02,111 | INFO | BrokerService.java 521 | Using Persistence Adapter: MemoryPersistenceAdapter
2019-04-09 11:07:02,112 | INFO | BrokerService.java 799 | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting
2019-04-09 11:07:02,112 | INFO | BrokerService.java 801 | For help or more information please see: http://activemq.apache.org/
2019-04-09 11:07:02,165 | INFO | ManagementContext.java 101 | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi
2019-04-09 11:07:02,245 | INFO | BrokerService.java 564 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54430-1554793622128-0:1) started
2019-04-09 11:07:02,250 | INFO | TransportConnector.java 265 | Connector vm://localhost Started
2019-04-09 11:07:02,287 | INFO | DefaultCamelContext.java 4034 | Route: route1 started and consuming from: activemq://queue:JMS.SAMPLE.REQ
2019-04-09 11:07:02,287 | INFO | DefaultCamelContext.java 3186 | Total 1 routes, of which 1 are started
2019-04-09 11:07:02,289 | INFO | DefaultCamelContext.java 3197 | Apache Camel 2.23.1 (CamelContext: camel-1) started in 0.808 seconds
2019-04-09 11:07:07,290 | INFO | DefaultCamelContext.java 3496 | Apache Camel 2.23.1 (CamelContext: camel-1) is shutting down
2019-04-09 11:07:07,291 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-04-09 11:07:07,322 | INFO | TransportConnector.java 307 | Connector vm://localhost Stopped
2019-04-09 11:07:07,323 | INFO | BrokerService.java 605 | ActiveMQ Message Broker (localhost, ID:FBDLXPS15-54430-1554793622128-0:1) is shutting down
2019-04-09 11:07:07,328 | INFO | BrokerService.java 676 | ActiveMQ JMS Message Broker (localhost, ID:FBDLXPS15-54430-1554793622128-0:1) stopped
2019-04-09 11:07:07,329 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: activemq://queue:JMS.SAMPLE.REQ
